"","routeNo","Fault.Descrip","nClaims"
"1","0000","at fault",24
"2","0000","insufficient information",3
"3","0000","no knowledge",2
"4","0000","not at fault",8
"5","0001","at fault",6
"6","0001","not at fault",11
"7","0002","",1
"8","0002","at fault",5
"9","0002","no knowledge",1
"10","0002","not at fault",3
"11","0002","partial fault",1
"12","0003","",1
"13","0003","at fault",21
"14","0003","insufficient information",2
"15","0003","not at fault",15
"16","0004","at fault",8
"17","0004","insufficient information",2
"18","0004","not at fault",20
"19","0005","at fault",5
"20","0005","insufficient information",2
"21","0005","no knowledge",1
"22","0005","not at fault",10
"23","0006","at fault",9
"24","0006","insufficient information",1
"25","0006","not at fault",11
"26","0009","at fault",5
"27","0009","insufficient information",2
"28","0009","no knowledge",1
"29","0009","not at fault",5
"30","0017","at fault",15
"31","0017","insufficient information",4
"32","0017","no knowledge",1
"33","0017","not at fault",32
"34","0021","at fault",15
"35","0021","insufficient information",2
"36","0021","not at fault",7
"37","0022","at fault",8
"38","0022","not at fault",6
"39","0024","at fault",5
"40","0024","insufficient information",2
"41","0024","not at fault",10
"42","0025","at fault",4
"43","0025","insufficient information",1
"44","0025","not at fault",8
"45","0026","at fault",5
"46","0026","insufficient information",1
"47","0026","no knowledge",1
"48","0026","not at fault",15
"49","0033","at fault",5
"50","0033","insufficient information",3
"51","0033","not at fault",10
"52","00V1","at fault",10
"53","00V1","insufficient information",1
"54","00V1","no knowledge",1
"55","00X4","",1
"56","00X4","at fault",4
"57","00X4","insufficient information",1
"58","00X4","not at fault",5
"59","019A","at fault",14
"60","019A","insufficient information",2
"61","019A","not at fault",5
"62","019B","at fault",7
"63","019B","not at fault",5
"64","019C","at fault",10
"65","019C","insufficient information",2
"66","019C","not at fault",2
